time,generation biomass,generation fossil brown coal/lignite,generation fossil coal-derived gas,generation fossil gas,generation fossil hard coal,generation fossil oil,generation fossil oil shale,generation fossil peat,generation geothermal,generation hydro pumped storage aggregated,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation marine,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind offshore,generation wind onshore,forecast solar day ahead,forecast wind offshore eday ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead,price actual,temp,pressure,humidity,year,month,day,weather_main,wastage
2015-January-16,11764,17498,0,112220,133105,8135,0,0,0,0,23146,27369,48413,0,170439,2057,1782,16273,6286,0,242032,15678,0,237477,778688,771063,52.6625,66.00583333,281.9674833,1001.958333,79.76666667,2015,January,16,clouds,414912.6683
2015-January-17,11835,20146,0,111537,131875,6924,0,0,0,0,17838,26123,56712,0,170465,1919,1800,23879,6313,0,155437,21821,0,156034,704329,699060,46.59583333,59.28875,278.749162,1009.958333,72.51666667,2015,January,17,clear,374289.8788
2015-January-18,11962,19400,0,113624,121868,6401,0,0,0,0,24782,25875,54956,0,170515,1936,1745,5985,6333,0,141072,5716,0,143470,670703,669016,42.88666667,57.35875,279.8729453,1001.116667,76.5,2015,January,18,clouds,363252.9638
2015-January-19,11248,19083,0,120014,154030,6907,0,0,0,0,16580,24943,53038,0,150607,1818,1559,16444,5754,0,159405,14986,0,175598,796141,794864,52.52,66.82125,279.1521208,1001.4,82.60833333,2015,January,19,rain,384489.4725
2015-January-20,12653,21626,0,179722,186644,7627,0,0,0,0,6881,28345,94939,0,146291,2074,1820,11297,6377,0,102125,11125,0,102605,816226,817276,61.13,74.93541667,277.5461128,998.9666667,77.29166667,2015,January,20,clouds,477863.1521
2015-January-21,12855,21421,0,132671,177633,7833,0,0,0,0,15140,28167,64328,0,149167,2130,1836,14552,5849,0,202240,16407,0,201506,820429,820171,51.27958333,66.01291667,278.2782495,998.9416667,77.88333333,2015,January,21,clouds,386109.5496
2015-January-22,12864,19922,0,126489,171832,7859,0,0,0,0,18754,27051,49323,0,168044,2067,1781,19003,5422,0,237017,19079,0,236254,813810,814039,50.83041667,64.07541667,279.5669492,1002.966667,72.33333333,2015,January,22,clear,347416.9092
2015-January-23,13152,18486,0,123527,173760,8067,0,0,0,0,16264,27091,50973,0,170391,2134,1761,29104,5411,0,210005,26712,0,210263,809934,803252,53.63083333,66.96083333,279.28345,1010.375,67.80833333,2015,January,23,clear,362325.0692
2015-January-24,12245,12795,0,95319,137402,6722,0,0,0,0,18405,25697,47928,0,170305,1329,1836,31987,5249,0,207185,28082,0,206581,715411,717450,46.76583333,58.01625,278.4731443,1013.325,65.43333333,2015,January,24,clear,304527.2962
2015-January-25,10655,10804,0,89416,93875,6152,0,0,0,0,32297,24650,38619,0,170328,583,1758,33764,5425,0,240443,30351,0,240619,670591,659271,40.7375,53.44541667,280.1039925,1015.225,56.40833333,2015,January,25,clear,289941.3854
2015-January-26,11053,19878,0,128748,157369,7417,0,0,0,0,14509,26673,74613,0,170438,1210,1760,32515,5450,0,159866,29483,0,159849,789948,782764,58.05666667,70.80583333,278.6328833,1016.95,65.81666667,2015,January,26,clear,385891.7917
2015-January-27,10585,18754,0,109879,161829,7437,0,0,0,0,11552,23258,52197,0,163371,1020,1696,27556,4925,0,192164,27047,0,201386,793986,790836,55.18666667,67.69833333,280.4157391,1017.916667,71.75833333,2015,January,27,clear,333414.2917
2015-January-28,10922,10787,0,120116,157521,7575,0,0,0,0,12876,22276,60295,0,163250,1042,1758,26512,4855,0,173162,28806,0,178750,794428,749382,57.55458333,70.35166667,280.2435729,1012.941667,73.90833333,2015,January,28,clear,341557.3417
2015-January-29,11589,89,0,90448,108399,7957,0,0,0,0,19592,25455,51468,0,170280,1029,1829,15860,4962,0,337166,17377,0,334143,794303,782670,43.30041667,56.1325,282.5720961,1001.816667,72.19166667,2015,January,29,clouds,278529.465
2015-January-30,10780,0,0,84590,39959,7217,0,0,0,0,24350,30340,88163,0,170349,1068,1789,8506,4655,0,353881,9264,0,354910,772372,772336,32.93916667,46.49666667,285.6741602,988.2583333,77.68333333,2015,January,30,rain,216441.9833
2015-January-31,9318,323,0,68018,32134,4699,0,0,0,0,23751,30390,91194,0,170444,1018,1556,17940,4479,0,313521,18910,0,313587,682971,689008,18.94208333,31.07916667,282.3857175,989.0416667,73.10833333,2015,January,31,rain,139203.5875
2015-February-01,10720,7209,0,133043,130323,6847,0,0,0,0,10972,27044,93682,0,170347,1022,1811,26092,4891,0,60648,23498,0,61398,676771,345296,54.11916667,32.81916667,279.5388005,1000.241667,64.325,2015,February,32,clear,160518.5442
2015-February-02,11622,0,0,111152,101319,6465,0,0,0,0,11582,33353,109605,0,170532,1795,1698,10531,4044,0,222949,10026,0,223005,786038,787009,47.32958333,61.59083333,279.73418,999.85,74.78333333,2015,February,33,clouds,249073.33
2015-February-03,11460,0,0,116689,70571,6723,0,0,0,0,11742,37180,130081,0,170338,2003,1678,30347,5156,0,164355,29091,0,165192,713264,705421,43.20791667,56.57041667,280.4654711,995.675,80.5,2015,February,34,clouds,291677.0683
2015-February-04,9110,0,0,87973,45365,6263,0,0,0,0,13514,35014,66903,0,166834,1408,1440,55952,4143,0,132328,50917,0,132538,571334,569613,38.52541667,53.55208333,277.4202708,993.4833333,68.075,2015,February,35,rain,221866.2813
2015-February-05,9443,916,0,114362,68419,6880,0,0,0,0,20486,28291,53361,0,96887,1813,1695,48280,3748,0,158587,45603,0,158684,567437,571116,40.47958333,57.11666667,277.4408,1001.266667,62.28333333,2015,February,36,clear,214073.2667
2015-February-06,12631,22958,0,107389,173693,8412,0,0,0,0,1264,20000,79508,0,120214,2050,1635,59173,5815,0,61124,57396,0,61153,702175,704815,56.51333333,61.50583333,276.321168,1001.483333,64.05833333,2015,February,37,clouds,357656.4208
2015-February-07,11711,22641,0,166088,183191,8740,0,0,0,0,3301,16972,62382,0,144762,2070,1391,52159,5237,0,87479,52273,0,88140,760784,752996,63.66625,66.16791667,276.1817755,1007.641667,69.9,2015,February,38,clouds,346521.3796
2015-February-08,12232,10398,0,94439,120817,7140,0,0,0,0,25539,15103,33279,0,162017,1954,1572,56228,5532,0,116747,57141,0,116738,607210,596608,45.74166667,52.95666667,277.329718,1011.516667,70.46666667,2015,February,39,clear,292956.28
2015-February-09,11910,21709,0,129409,178635,8980,0,0,0,0,4120,14513,42158,0,163723,2020,1713,40829,6267,0,99405,40073,0,99448,717292,721142,58.49791667,66.16708333,278.9203333,1011.5,66.75,2015,February,40,clear,414669.1113
2015-February-10,13458,19769,0,123976,161494,9605,0,0,0,0,8031,12397,49675,0,141924,2147,1723,40078,6350,0,74839,39195,0,74364,662841,667687,56.235,73.31916667,279.7393909,1008.516667,75.38333333,2015,February,41,clouds,465576.7083
2015-February-11,13613,925,0,119037,116126,6730,0,0,0,0,13074,16010,46704,0,121507,1853,1483,6400,6410,0,203591,6995,0,204278,626358,640832,46.48375,77.17708333,280.4180164,1008.85,78.48333333,2015,February,42,clouds,494705.1042
2015-February-12,11123,22642,0,228581,179590,9962,0,0,0,0,6395,19090,65008,0,132972,2222,1737,16698,5526,0,48780,17447,0,49395,756374,751614,65.99666667,77.94791667,281.37538,1005.85,84.75833333,2015,February,43,clouds,430740.1875
2015-February-13,10693,19807,0,116540,164488,8880,0,0,0,0,12868,30325,94968,0,169744,2080,1788,25900,5117,0,174527,24683,0,174305,792824,774351,50.73208333,63.72416667,283.2926039,1004.591667,77.6,2015,February,44,clouds,326076.5608
2015-February-14,9888,97,0,81842,57084,6976,0,0,0,0,38120,30031,75957,0,170509,1995,1753,9801,5064,0,294002,11551,0,291956,693721,693430,38.44416667,50.65458333,283.839138,1000.933333,78.43333333,2015,February,45,clouds,256514.81
2015-February-15,9675,43,0,84053,49509,5502,0,0,0,0,37288,31351,78697,0,170510,1958,1565,12755,4816,0,243080,12950,0,242743,643298,638038,29.55625,43.89458333,284.4247982,1002.125,78.15,2015,February,46,rain,211396.3133
2015-February-16,11056,11517,0,121353,106416,8284,0,0,0,0,12976,32361,100739,0,170531,2074,1683,14302,5034,0,182534,18013,0,181892,754518,746952,51.06166667,65.6575,283.5665484,1006.316667,74.64166667,2015,February,47,clouds,330519.855
2015-February-17,11181,10063,0,92617,84264,8661,0,0,0,0,39829,31202,85550,0,170580,2121,1784,13978,4807,0,305184,14747,0,303593,754635,775269,39.37708333,52.99666667,282.5068138,1016.216667,69.68333333,2015,February,48,rain,254754.9767
2015-February-18,11962,12776,0,119076,112409,8779,0,0,0,0,17170,31074,107341,0,170594,2166,1630,28243,5510,0,192589,27135,0,193447,789586,774281,46.62166667,60.54666667,282.5025583,1015.541667,70.14166667,2015,February,49,clear,333612.1333
2015-February-19,12136,13079,0,147387,131533,9235,0,0,0,0,8329,32303,134775,0,170608,2164,1766,35102,5452,0,78842,33142,0,78914,783573,760927,56.29583333,70.765,281.8334372,1017.441667,68.525,2015,February,50,clear,385810.78
2015-February-20,11617,13630,0,127341,131734,9087,0,0,0,0,4319,33025,129064,0,170590,2053,1808,23677,4911,0,113966,22193,0,113658,769341,759059,52.08708333,65.74083333,281.2227786,11132.7,69.54166667,2015,February,51,clouds,322853.2325
2015-February-21,10844,115,0,88150,47279,6747,0,0,0,0,28955,30063,105134,0,170566,1974,1750,20561,4848,0,250960,18548,0,249925,686434,685006,33.83,45.97125,281.9853122,46379.21667,66.26666667,2015,February,52,clouds,222868.62
2015-February-22,9680,0,0,80674,29751,5287,0,0,0,0,45047,28783,92168,0,170554,1981,1601,34823,4421,0,268695,32049,0,267530,632642,634953,16.87458333,31.66791667,282.2983458,24364.23333,57.81666667,2015,February,53,clear,140003.8596
2015-February-23,11374,0,0,84849,35879,7755,0,0,0,0,28082,31981,99457,0,170506,2033,1607,13731,5076,0,331821,17160,0,330450,746834,753610,29.12958333,44.3525,283.3329878,1001.258333,69.325,2015,February,54,clouds,225133.29
2015-February-24,10792,0,0,92125,34790,7517,0,0,0,0,22611,32158,111254,0,170526,2055,1723,34298,5479,0,322221,31088,0,321811,769744,771512,26.90875,42.3725,282.6381544,1006.8,62.875,2015,February,55,clear,232158.9275
2015-February-25,11294,0,0,92523,45809,7559,0,0,0,0,12454,31573,109487,0,170432,1915,1788,33122,5443,0,300264,29439,0,299807,772966,766908,34.2275,48.83416667,283.5466703,1009.975,70.00833333,2015,February,56,clear,265804.3692
2015-February-26,11725,0,0,98041,53255,7992,0,0,0,0,10009,32112,116554,0,170490,1637,1849,26298,4823,0,258649,28627,0,258877,757272,750975,40.78708333,54.82958333,285.5147836,1006.741667,75.54166667,2015,February,57,clouds,264443.0804
2015-February-27,11855,0,0,93183,54084,7707,0,0,0,0,18555,33671,115251,0,170477,1066,1872,37910,4881,0,254593,33038,0,255149,748949,733178,39.33916667,53.44041667,283.1671083,1019.55,68.65833333,2015,February,58,clear,260842.6738
2015-February-28,11187,322,0,89943,52154,5925,0,0,0,0,22632,32874,108075,0,170440,1732,1844,29067,4887,0,191509,27204,0,190286,659543,652841,35.7075,47.22458333,283.067963,1006.35,77.375,2015,February,59,clear,230786.5388
2015-March-01,11279,7246,0,120558,142188,6551,0,0,0,0,11040,25349,62391,0,170373,1067,1791,27538,5402,0,94419,24521,0,92677,639340,664443,52.91,38.98,286.8024693,1010.6,75.05833333,2015,March,60,['clear' 'clouds'],210569.96
2015-March-02,11656,0,0,111497,117761,7444,0,0,0,0,18765,35111,93692,0,161297,2144,1794,12535,4630,0,264466,13162,0,263988,809121,804476,44.29291667,57.51875,288.0572036,1008.983333,77.88333333,2015,March,61,clouds,266311.8125
2015-March-03,9815,0,0,135236,100752,7331,0,0,0,0,6762,38761,147130,0,169307,1960,1595,31412,5274,0,62248,31973,0,61960,720525,705998,53.92875,66.03625,286.8246586,1009.183333,81.03333333,2015,March,62,clouds,348275.1825
2015-March-04,9177,0,0,99564,40916,5973,0,0,0,0,21473,32549,57967,0,165398,1046,1406,41877,3988,0,112694,36501,0,112477,523211,519445,35.6525,47.02416667,285.2563188,1025.003273,71.36824877,2015,March,63,clear,187532.3767
2015-March-05,8619,952,0,124637,64146,5924,0,0,0,0,15736,29412,61890,0,97253,1895,1615,21466,3601,0,128926,27294,0,130470,555666,551155,39.26,41.6625,283.8994294,1030.925,44.19166667,2015,March,64,clear,150026.6625
2015-March-06,12602,23031,0,115276,172770,8544,0,0,0,0,2755,19400,72259,0,120458,2019,1636,58536,6261,0,92527,58026,0,92797,709713,711267,55.67958333,61.18791667,283.6498672,1030.008333,49.33333333,2015,March,65,clear,383097.5463
2015-March-07,11082,22037,0,126072,172418,9617,0,0,0,0,6680,17751,45355,0,144482,2019,1646,57755,5263,0,171674,58414,0,170337,756685,761622,60.23458333,57.54625,285.0810906,1027.75,58.58333333,2015,March,66,clear,302865.9138
2015-March-08,12104,18746,0,142147,169727,8125,0,0,0,0,3098,15739,47365,0,161256,2001,1476,38795,4578,0,107681,45734,0,106631,720526,727717,60.84083333,51.38708333,284.8888815,1024.25,62.89166667,2015,March,67,clear,235250.0675
2015-March-09,10993,20184,0,120099,164015,9076,0,0,0,0,6527,14780,36921,0,164252,2082,1733,37668,6450,0,131624,39404,0,131830,703834,700779,54.79833333,58.5975,285.6588214,1024.091667,64.725,2015,March,68,clear,377953.875
2015-March-10,13582,17974,0,117886,149033,7619,0,0,0,0,7706,12236,42646,0,136228,2015,1682,15792,6272,0,66337,20889,0,66037,591939,598086,49.89625,64.65666667,285.2485727,1024.85,69.05833333,2015,March,69,clear,405526.6133
2015-March-11,13366,4347,0,122129,145118,8867,0,0,0,0,20162,17820,44557,0,121729,1286,1504,10556,6521,0,195418,10315,0,195805,691150,683982,48.82333333,60.0775,285.4974313,1017.458333,71.64166667,2015,March,70,clear,391765.3775
2015-March-12,10206,20861,0,180945,173023,9898,0,0,0,0,10136,16871,33668,0,145808,2137,1702,24395,5216,0,106517,23292,0,106036,747076,741586,60.86875,58.5775,285.2698979,1020.766667,68.825,2015,March,71,clear,305540.24
2015-March-13,12817,0,0,96006,81756,7457,0,0,0,0,10803,37534,101991,0,170187,2021,1681,38490,3719,0,170059,38863,0,170227,695070,700517,42.05041667,53.545,283.1577078,1021.916667,76.08333333,2015,March,72,clouds,199133.855
2015-March-14,12051,0,0,91366,61750,6527,0,0,0,0,13327,34715,78661,0,161404,2034,1595,42857,3800,0,166182,42382,0,166575,637930,642821,40.76333333,51.34291667,281.2154,1021.016667,74.60833333,2015,March,73,rain,195103.0833
2015-March-15,11670,0,0,102654,77120,6382,0,0,0,0,15481,33539,79407,0,164138,2028,1555,43092,3693,0,89928,43711,0,91003,603295,601842,41.54583333,53.94,280.6669594,1017.925,66.68333333,2015,March,74,clouds,199200.42
2015-March-16,11526,5429,0,138259,132942,7233,0,0,0,0,8600,34090,124829,0,169466,2002,1581,46291,3655,0,50192,46791,0,50453,715910,717918,54.13458333,67.42083333,280.5258117,1018.008333,73.29166667,2015,March,75,clear,246423.1458
2015-March-17,11122,6810,0,107752,136678,7669,0,0,0,0,8739,31891,110291,0,170298,1924,1605,17526,3371,0,137870,24414,0,139198,730195,735911,46.43458333,58.13625,281.5193284,1016.891667,75.025,2015,March,76,clouds,195977.2988
2015-March-18,11129,5500,0,107711,118181,7571,0,0,0,0,9870,29844,118648,0,170362,1993,1596,8084,3876,0,155735,12028,0,155196,727081,740790,46.34583333,58.3025,282.5842719,1017.533333,82.96666667,2015,March,77,rain,225980.49
2015-March-19,10809,0,0,95243,78276,7815,0,0,0,0,11403,29296,62516,0,170338,1926,1585,11437,3179,0,236252,14096,0,235719,675566,691578,38.51708333,51.32791667,283.7046466,1015.275,85.36666667,2015,March,78,rain,163171.4471
2015-March-20,11102,0,0,93608,66673,7559,0,0,0,0,19857,29367,73714,0,170325,1933,1593,8943,3429,0,279813,14080,0,280133,684263,713864,39.53375,51.705,283.81851,1005.229133,88.03764321,2015,March,79,rain,177296.445
2015-March-21,11305,0,0,101405,61690,6808,0,0,0,0,11692,30319,92057,0,170351,1929,1521,10079,3463,0,183795,11822,0,183527,647353,654472,43.16208333,54.23625,283.11348,1008.575,94.075,2015,March,80,rain,187820.1338
2015-March-22,10937,0,0,96416,39247,6281,0,0,0,0,25179,29313,63343,0,170344,1439,1482,13299,3397,0,181916,14210,0,181812,608563,610118,40.89333333,53.53833333,282.9119789,1010.108333,90.54166667,2015,March,81,rain,181869.7183
2015-March-23,10912,16051,0,125151,105728,7587,0,0,0,0,7603,30903,106280,0,170313,1018,1558,11434,3568,0,137053,13224,0,136888,732657,734208,52.65416667,65.13125,282.2651414,1008.583333,91.68333333,2015,March,82,rain,232388.3
2015-March-24,11205,12127,0,105638,106854,8136,0,0,0,0,12846,29040,80744,0,170358,1037,1632,12692,3638,0,216966,13861,0,217688,746395,749951,46.17875,57.68666667,282.1156664,1005.358333,90.10833333,2015,March,83,rain,209864.0933
2015-March-25,11336,0,0,93213,75473,8255,0,0,0,0,26243,29222,58033,0,170307,1110,1618,36398,4230,0,298847,34253,0,282507,751268,742187,42.62916667,54.34458333,280.9128328,1009.766667,72.95,2015,March,84,rain,229877.5875
2015-March-26,10736,0,0,99639,84543,8683,0,0,0,0,9406,28357,64610,0,169495,1802,1582,23801,4014,0,253234,27475,0,244939,752414,722919,45.00166667,56.3775,282.4262469,1016.375,71.13333333,2015,March,85,rain,226299.285
2015-March-27,11197,0,0,101752,86142,8892,0,0,0,0,10314,31918,69553,0,170217,1980,1625,46544,3438,0,230723,44896,0,231485,721645,711378,46.24375,58.03708333,286.3600834,1023.366667,72.35833333,2015,March,86,clear,199531.4925
2015-March-28,11589,0,0,92077,51425,6949,0,0,0,0,28741,31217,57859,0,170212,1938,1583,53921,3528,0,171394,52120,0,171390,622688,620957,43.43625,55.62125,287.7674599,1025.35,69.36666667,2015,March,87,clear,196231.77
2015-March-29,10378,0,0,86742,31503,5757,0,0,0,0,53985,30852,51539,0,170178,1919,1501,43455,3133,0,181084,42054,0,180620,570287,565878,30.70041667,45.70166667,287.7474956,1018.033333,66.425,2015,March,88,clear,143183.3217
2015-March-30,10970,0,0,93638,64614,8159,0,0,0,0,18887,32293,68549,0,170059,1953,1531,51327,3344,0,198109,49601,0,198568,660771,660648,42.135,55.49541667,289.0678211,1016.608333,61.46666667,2015,March,89,clear,185576.6733
2015-March-31,10973,543,0,89405,79208,8802,0,0,0,0,13175,33691,79865,0,170026,1940,1577,55703,3940,0,148342,53909,0,148279,666964,664185,43.715,54.69291667,288.6994044,1026.016667,64.80833333,2015,March,90,clear,215490.0917
2015-April-01,11549,6018,0,109454,129878,6389,0,0,0,0,19348,25169,55983,0,168270,1078,1809,27929,5761,0,111067,25268,0,111322,622715,636044,45.15166667,43.95416667,287.6156677,1026.308333,64.725,2015,April,91,clear,253219.9542
2015-April-02,11310,0,0,117700,114432,7449,0,0,0,0,15705,34879,94702,0,146640,2136,1715,22390,4771,0,296391,23465,0,295155,822378,819016,40.55583333,52.59,286.3600214,1024.15,65.7,2015,April,92,clear,250906.89
2015-April-03,10492,0,0,93996,53956,7120,0,0,0,0,23180,38589,116662,0,156533,1977,1524,33493,5068,0,244284,29887,0,243427,714111,710545,34.60083333,53.35458333,286.9545625,1018.583333,65.825,2015,April,93,clouds,270401.0283
2015-April-04,8154,0,0,87387,39810,6197,0,0,0,0,18484,30719,62150,0,164047,1007,1356,41649,3925,0,168527,42243,0,168361,552632,548145,26.66333333,39.60625,286.5037094,1014,69.51666667,2015,April,94,clouds,155454.5312
2015-April-05,9304,1875,0,115851,89571,8209,0,0,0,0,7478,30999,57963,0,98607,1916,1694,18512,3639,0,207255,23395,0,205747,653184,648367,45.20208333,39.93958333,286.0142498,1012.575,69.00833333,2015,April,95,clear,145340.1438
2015-April-06,12041,22943,0,114619,161694,8371,0,0,0,0,2692,18545,65305,0,121828,1938,1641,62060,6575,0,105877,60313,0,104864,706745,698015,56.4375,52.66125,285.7703289,1017.608333,65.80833333,2015,April,96,clear,346247.7187
2015-April-07,11815,22333,0,120872,169364,7779,0,0,0,0,9351,16856,41993,0,144908,2017,1630,54439,5305,0,105775,55126,0,105959,698266,688603,56.75166667,57.68125,285.2137208,1023.858333,62.85,2015,April,97,clear,305999.0313
2015-April-08,12144,21751,0,155542,181740,8071,0,0,0,0,147,15869,59057,0,160917,2030,1623,51736,5720,0,58084,51615,0,58887,727224,734134,61.00875,54.20375,285.2943151,1025.266667,58.49166667,2015,April,98,clear,310045.45
2015-April-09,11757,17931,0,118673,150292,8920,0,0,0,0,5219,14594,37929,0,161532,2095,1737,33416,6652,0,118509,34830,0,118620,690942,675418,54.39166667,63.22375,284.5250578,1024.275,72.2,2015,April,99,rain,420564.385
2015-April-10,12958,1621,0,98290,64915,7592,0,0,0,0,37456,12400,20067,0,117834,1906,1603,12080,6202,0,208821,14172,0,207659,551037,560770,37.49583333,67.15541667,285.4842052,1022.5,75.1,2015,April,100,clouds,416497.8942
2015-April-11,13227,12085,0,131708,164715,9134,0,0,0,0,8570,18265,54190,0,123114,1324,1602,14435,6351,0,112436,13419,0,112110,687015,687926,51.46833333,60.28083333,285.302374,1023.683333,81.175,2015,April,101,clouds,382843.5725
2015-April-12,10960,20545,0,200022,171146,9388,0,0,0,0,7523,18473,58744,0,148172,2066,1751,22515,5306,0,60089,20223,0,60703,734794,727282,62.39541667,47.14375,286.6420216,1024.716667,71.975,2015,April,102,clear,250144.7375
2015-April-13,9734,0,0,99919,79875,7896,0,0,0,0,21005,30100,48727,0,170131,929,1487,48334,3838,0,205004,48881,0,204231,663389,657677,47.1275,59.165,287.961355,1025.133333,58.54166667,2015,April,103,clear,227075.27
2015-April-14,9565,0,0,92949,105173,7944,0,0,0,0,9697,29664,50938,0,170130,912,1525,25629,4008,0,216809,31646,0,217273,668207,673259,43.27583333,54.90375,289.3792096,1021.433333,52.34166667,2015,April,104,clouds,220054.23
2015-April-15,9689,14817,0,119945,110944,8125,0,0,0,0,5898,30454,68889,0,170156,913,1572,15477,4121,0,125121,18117,0,125630,673112,681002,50.09291667,61.54583333,287.9894175,1016.591667,68.26666667,2015,April,105,rain,253630.3792
2015-April-16,9558,21003,0,114443,108525,8867,0,0,0,0,2775,24310,57173,0,162993,966,1704,21186,4022,0,104098,23714,0,108436,678570,640069,50.60166667,61.945,287.0907508,1015.525,79.71666667,2015,April,106,rain,249142.79
2015-April-17,9554,21878,0,133143,115334,9593,0,0,0,0,5329,23452,69564,0,170003,1018,1892,35945,4011,0,53237,34722,0,53841,671985,668361,56.63875,68.00666667,288.1500623,1016.575,75.51666667,2015,April,107,clouds,272774.74
2015-April-18,9165,11567,0,108684,87510,7764,0,0,0,0,15300,22768,49755,0,158104,1016,1812,41252,3797,0,99533,41727,0,98709,596885,595953,47.13875,58.335,287.2612922,1014.366667,71.88333333,2015,April,108,clouds,221497.995
2015-April-19,9158,1911,0,107934,84037,6954,0,0,0,0,16328,22461,53439,0,162649,992,1719,47468,3517,0,78769,44453,0,78969,556423,551036,41.66291667,54.91208333,286.2249581,1015.383333,65.95,2015,April,109,clouds,193125.7971
2015-April-20,9987,12927,0,116176,125862,8739,0,0,0,0,5432,23341,64855,0,167793,989,1587,52622,3575,0,68110,46463,0,67676,655637,625792,54.32791667,66.17041667,287.1042917,1019.716667,65.13333333,2015,April,110,clouds,236559.2396
2015-April-21,9925,11367,0,97851,111692,8868,0,0,0,0,14981,21486,53223,0,150366,981,1552,41193,4153,0,183301,40594,0,183383,668758,666400,48.18333333,60.13583333,288.4047945,1014.033333,65.00833333,2015,April,111,clouds,249744.1158
